date;hosp_counts;mean_temp;min_temp;max_temp
2014-01-01;105.0;0.9;-2.2;5.8
2014-01-02;109.0;1.9;-2.0;5.5
2014-01-03;120.0;1.8;-2.4;5.7
2014-01-04;107.0;3.0;0.5;4.7
2014-01-05;98.0;2.9;-1.4;6.4
2014-01-06;98.0;1.2;-2.8;5.8
2014-01-07;98.0;4.3;0.0;10.9
2014-01-08;110.0;5.1;0.6;10.3
2014-01-09;95.0;5.6;-1.3;11.1
2014-01-10;83.0;4.6;-0.8;9.4
2014-01-11;83.0;2.7;-1.2;7.0
2014-01-12;97.0;2.5;-1.4;5.6
2014-01-13;100.0;3.2;1.5;4.1
2014-01-14;94.0;3.4;1.7;4.4
2014-01-15;87.0;0.8;-3.2;3.7
2014-01-16;95.0;2.7;0.0;5.7
2014-01-17;98.0;2.5;1.0;4.7
2014-01-18;87.0;1.7;1.0;2.8
2014-01-19;107.0;1.5;0.4;3.8
2014-01-20;107.0;3.2;1.2;5.1
2014-01-21;95.0;2.2;-1.3;3.4
2014-01-22;100.0;0.8;-2.5;3.9
2014-01-23;91.0;2.0;-2.6;5.4
2014-01-24;84.0;0.4;-4.3;3.8
2014-01-25;103.0;-1.1;-4.6;1.5
2014-01-26;101.0;3.2;-0.1;4.8
2014-01-27;115.0;2.7;-1.0;5.8
2014-01-28;105.0;-0.1;-3.5;4.3
2014-01-29;78.0;-1.9;-5.0;1.4
2014-01-30;83.0;-1.5;-4.1;0.6
2014-01-31;93.0;-1.3;-5.2;4.4
2014-02-01;97.0;0.0;-5.2;5.2
2014-02-02;97.0;0.8;-0.2;2.3
2014-02-03;95.0;1.8;0.6;3.5
2014-02-04;88.0;1.6;-0.8;5.1
2014-02-05;77.0;2.0;0.8;4.2
2014-02-06;109.0;3.4;-0.9;7.9
2014-02-07;101.0;2.2;-1.4;5.3
2014-02-08;101.0;1.6;-1.9;4.8
2014-02-09;89.0;3.0;-2.0;6.6
2014-02-10;104.0;2.5;-1.3;6.2
2014-02-11;103.0;3.0;-1.0;6.6
2014-02-12;94.0;3.9;-0.6;8.8
2014-02-13;93.0;4.5;2.5;8.6
2014-02-14;104.0;3.1;0.3;6.0
2014-02-15;115.0;4.2;-0.6;11.4
2014-02-16;77.0;3.1;1.9;5.0
2014-02-17;97.0;2.6;-1.3;6.8
2014-02-18;101.0;2.5;-2.7;8.6
2014-02-19;99.0;4.3;1.8;7.4
2014-02-20;99.0;5.2;0.3;10.1
2014-02-21;91.0;4.1;0.2;6.4
2014-02-22;101.0;2.8;-1.3;8.3
2014-02-23;86.0;4.2;-0.3;9.0
2014-02-24;106.0;3.2;-3.3;11.1
2014-02-25;101.0;3.8;-2.1;10.4
2014-02-26;96.0;4.2;0.4;7.3
2014-02-27;111.0;3.1;0.2;6.4
2014-02-28;118.0;4.3;1.8;8.6
2014-03-01;91.0;3.2;0.9;5.9
2014-03-02;92.0;2.3;-1.2;5.9
2014-03-03;100.0;2.2;-0.9;5.3
2014-03-04;113.0;2.2;-1.9;5.4
2014-03-05;97.0;4.5;1.8;9.0
2014-03-06;91.0;4.3;-0.3;9.4
2014-03-07;106.0;4.4;-2.6;12.7
2014-03-08;97.0;6.2;-0.7;13.9
2014-03-09;118.0;6.1;-1.5;14.7
2014-03-10;88.0;6.8;-0.9;14.5
2014-03-11;102.0;6.2;-0.8;12.8
2014-03-12;122.0;6.0;-1.4;14.6
2014-03-13;96.0;7.5;-0.1;16.1
2014-03-14;89.0;8.0;0.2;16.3
2014-03-15;101.0;7.2;1.6;13.8
2014-03-16;90.0;9.1;3.7;16.2
2014-03-17;110.0;9.7;1.7;19.2
2014-03-18;103.0;11.4;1.6;19.7
2014-03-19;98.0;10.1;4.8;14.4
2014-03-20;79.0;9.7;1.0;19.0
2014-03-21;103.0;11.4;2.5;19.0
2014-03-22;95.0;7.3;3.0;11.6
2014-03-23;108.0;2.3;0.4;3.6
2014-03-24;87.0;1.4;-2.3;5.6
2014-03-25;95.0;1.3;-3.4;6.4
2014-03-26;92.0;2.4;-1.7;6.8
2014-03-27;90.0;4.3;-2.8;11.9
2014-03-28;105.0;6.7;-1.9;14.4
2014-03-29;108.0;7.9;-0.6;16.1
2014-03-30;89.0;9.9;1.2;19.0
2014-03-31;111.0;10.2;1.4;17.8
2014-04-01;101.0;11.0;3.6;17.7
2014-04-02;95.0;11.3;3.8;18.4
